plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,lighting_garage,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,occupants,hot_water_fixtures
0.647,0.0845,0.281,0.18,0.18,0,0,0,0,0,0,0.333,0.248
0.647,0.0845,0.281,0.18,0.18,0,0,0,0,0,0,0.333,0
0.647,0.0845,0.281,0.18,0.18,0,0,0,0,0,0,0.333,0
0.647,0.0888,0.281,0.182,0.182,0,0,0,0,0,0,0.333,0
0.647,0.0888,0.281,0.182,0.182,0,0,0,0,0,0,0.333,0.165
0.647,0.0888,0.281,0.182,0.182,0,0,0,0,0,0,0.333,0
0.647,0.0888,0.281,0.182,0.182,0,0,0,0,0,0,0.333,0
0.647,0.0888,0.281,0.182,0.182,0,0,0,0,0,0,0.333,0
0.647,0.0888,0.281,0.182,0.182,0,0,0,0,0,0,0.333,0
0.66,0.0982,0.281,0.196,0.196,0,0,0,0,0,0,0.333,0
0.66,0.0982,0.281,0.196,0.196,0,0,0,0,0,0,0.333,0
0.66,0.0982,0.281,0.196,0.196,0,0,0,0,0,0,0.333,0.165
0.66,0.0982,0.281,0.196,0.196,0,0,0,0,0,0,0.333,0
0.66,0.0982,0.281,0.196,0.196,0,0,0,0,0,0,0.333,0
0.66,0.0982,0.281,0.196,0.196,0,0,0,0,0,0,0.333,0.0827
0.679,0.12,0.281,0.234,0.234,0,0,0,0,0,0,0.333,0
0.679,0.12,0.281,0.234,0.234,0,0,0,0,0,0,0.333,0.184
0.679,0.12,0.281,0.234,0.234,0,0,0,0,0,0,0.333,0
0.797,0.224,0.14,0.418,0.418,0,0,0,0,0,0,0.667,0
0.797,0.224,0.14,0.418,0.418,0,0,0,0,0,0,0.667,0.109
0.915,0.327,0,0.602,0.602,0,0,0,0,0,0,1,0.259
0.973,0.402,0,0.798,0.798,0,0,0,0,0,0,1,0.0259
0.973,0.402,0,0.798,0.798,0,0,0,0,0,0.9,1,0
0.973,0.402,0,0.798,0.798,0,0,0,0,0,0.6,1,0
0.973,0.402,0,0.798,0.798,0,0,0,0,0,0,1,0
0.973,0.402,0,0.798,0.798,0,0,0,0,0,0,1,0
0.973,0.402,0,0.798,0.798,0,0,0,0,0,0,1,0
0.993,0.541,0,0.979,0.979,0,0,0,0,0,0,1,0
0.993,0.541,0,0.979,0.979,0,0,0,0,0,0,1,0
0.993,0.541,0,0.979,0.979,0,0,0,0,0,0,1,0.248
0.993,0.541,0,0.979,0.979,0,0,0,0,0,0,1,0.248
0.993,0.541,0,0.979,0.979,0,0,0,0,0,0,1,0
0.993,0.541,0,0.979,0.979,0,0,0,0,0,0,1,0
0.973,0.758,0,0.991,0.991,0,0,0,0,0,0,1,0
0.973,0.758,0,0.991,0.991,0,0,0,0,0,0,1,0
0.973,0.758,0,0.991,0.991,0,0,0,0,0,0,1,0
0.973,0.758,0,0.991,0.991,0,0,0,0,0,0,1,0
0.973,0.758,0,0.991,0.991,0,0,0,0,0,0,1,0
0.973,0.758,0,0.991,0.991,0,0,0,0,0,0,1,0
0.934,0.936,0,0.823,0.823,0,0,0,0,0,0,1,0
0.934,0.936,0,0.823,0.823,0,0,0,0,0,0,1,0
0.934,0.936,0,0.823,0.823,0,0,0,0,0,0,1,0
0.934,0.936,0,0.823,0.823,0,0,0,0,0,0,1,0
0.934,0.936,0,0.823,0.823,0,0,0,0,0,0,1,0
0.81,0.629,0.14,0.565,0.565,0,0,0,0,0,0,1,0
0.66,0.306,0.281,0.24,0.24,0,0,0,0,0,0,1,0
0.66,0.306,0.281,0.24,0.24,0,0,0,0,0,0,1,0
0.66,0.306,0.281,0.24,0.24,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0.0979
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0.0979
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0.0495,0,0,0,0,0,0,1,0
0.608,0.02,0.281,0.0513,0.0513,0,0,0,0,0,0,1,0
0.608,0.02,0.281,0.0513,0.0513,0,0,0,0,0,0,1,0.162
0.608,0.02,0.281,0.0513,0.0513,0,0,0,0,0,0,1,0
0.608,0.02,0.281,0.0513,0.0513,0,0,0,0,0,0,1,0
0.608,0.02,0.281,0.0513,0.0513,0,0,0,0,0,0,1,0.0515
0.608,0.02,0.281,0.0513,0.0513,0,0,0,0,0,0,1,0.34
0.608,0.026,0.281,0.0833,0.0833,0,0,0,0,0,0,1,0.257
0.608,0.026,0.281,0.0833,0.0833,0,0,0,0,0,0,1,0.588
0.608,0.026,0.281,0.0833,0.0833,0,0,0,0,0,0,1,0.103
0.654,0.0362,0.14,0.117,0.117,0,0,0,0,0,0,1,0
0.654,0.0362,0.14,0.117,0.117,0,0,0,0,0,0,1,0
0.654,0.0362,0.14,0.117,0.117,0,0,0,0,0,0,1,0.064
0.68,0.0551,0.14,0.253,0.253,0,0,0,0,0,0,1,0
0.68,0.0551,0.14,0.253,0.253,0,0,0,0,0,0,1,0
0.68,0.0551,0.14,0.253,0.253,0,0,0,0,0,0.4,1,0
0.68,0.0551,0.14,0.253,0.253,0,0,0,0,0,1,1,0
0.68,0.0551,0.14,0.253,0.253,0,0,0,0,0,0.1,1,0.417
0.68,0.0551,0.14,0.253,0.253,0,0,0,0,0,0.4,1,0
0.798,0.103,0,0.449,0.449,0,0,0,0,0,1,1,0
0.798,0.103,0,0.449,0.449,0,0,0,0,0,0.1,1,0.051
0.798,0.103,0,0.449,0.449,0,0,0,0,0,0,1,0.0765
0.798,0.103,0,0.449,0.449,0,0,0,0,0,0,1,0
0.798,0.103,0,0.449,0.449,0,0,0,0,0,0,1,0
0.798,0.103,0,0.449,0.449,0,0,0,0,0,0,1,0.0987
0.818,0.126,0,0.477,0.477,0,0,0,0,0,0,1,0.0493
0.818,0.126,0,0.477,0.477,0,0,0,0,0,0,1,0
0.818,0.126,0,0.477,0.477,0,0,0,0,0,0,1,0
0.818,0.126,0,0.477,0.477,0,0,0,0,0,0,1,0
0.818,0.126,0,0.477,0.477,0,0,0,0,0,0,1,0.205
0.818,0.126,0,0.477,0.477,0,0,0,0,0,0,1,0
0.818,0.149,0,0.49,0.49,0,0,0,0,0,0,1,0
0.818,0.149,0,0.49,0.49,0,0,0,0,0,0,1,0.0261
0.818,0.149,0,0.49,0.49,0,0,0,0,0,0,1,0.131
0.818,0.149,0,0.49,0.49,0,0,0,0,0,0,1,0
0.818,0.149,0,0.49,0.49,0,0,0,0,0,0,1,0
0.732,0.105,0.14,0.343,0.343,0,0,0,0,0,0,0.667,0.0958
0.647,0.0664,0.281,0.192,0.192,0,0,0,0,0,0,0.333,0.0479
0.647,0.0664,0.281,0.192,0.192,0,0,0,0,0,0,0.333,0
